date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,high_mean_lag3,high_mean_lag7,high_mean_lag30,high_std_lag3,high_std_lag7,high_std_lag30,low_mean_lag3,low_mean_lag7,low_mean_lag30,low_std_lag3,low_std_lag7,low_std_lag30,volume_mean_lag3,volume_mean_lag7,volume_mean_lag30,volume_std_lag3,volume_std_lag7,volume_std_lag30
2008-05-26,BAJAJFINSV,EQ,2101.05,600.0,619.0,501.0,505.1,509.1,548.85,3145446,,,,,,,,,,,,,,,,,,
2008-05-27,BAJAJFINSV,EQ,509.1,505.0,610.95,491.1,564.0,554.65,572.15,4349144,619.0,619.0,619.0,,,,501.0,501.0,501.0,,,,3145446.0,3145446.0,3145446.0,,,
2008-05-28,BAJAJFINSV,EQ,554.65,564.0,665.6,564.0,643.0,640.95,618.37,4588759,614.975,614.975,614.975,5.6922097,5.6922097,5.6922097,496.05,496.05,496.05,7.000357,7.000357,7.000357,3747295.0,3747295.0,3747295.0,851143.0,851143.0,851143.0
2008-05-29,BAJAJFINSV,EQ,640.95,656.65,703.0,608.0,634.5,632.4,659.6,4522302,631.85,631.85,631.85,29.504194,29.504194,29.504194,518.7,518.7,518.7,39.542004,39.542004,39.542004,4027783.0,4027783.0,4027783.0,773461.56,773461.56,773461.56
2008-05-30,BAJAJFINSV,EQ,632.4,642.4,668.0,588.3,647.0,644.0,636.41,3057669,659.85,649.6375,649.6375,46.293602,42.96408,42.96408,554.36664,541.025,541.025,59.042385,55.099934,55.099934,4486735.0,4151412.8,4151412.8,123703.664,678207.75,678207.75
2008-06-02,BAJAJFINSV,EQ,644.0,650.0,699.0,622.0,687.0,686.95,670.51,2247399,678.86664,653.31,653.31,20.934502,38.10342,38.10342,586.76666,550.48,550.48,22.04004,52.19183,52.19183,4056243.2,3932664.0,3932664.0,865428.9,764349.0,764349.0
2008-06-03,BAJAJFINSV,EQ,686.95,672.0,689.8,632.55,670.55,672.05,665.87,2299383,690.0,660.925,660.925,19.157244,38.85133,38.85133,606.1,562.4,562.4,16.930151,55.060947,55.060947,3275790.0,3651786.5,3651786.5,1153030.1,969915.75,969915.75
2008-06-04,BAJAJFINSV,EQ,672.05,674.0,674.0,566.6,595.0,598.95,602.36,2832725,685.6,665.05,665.05,15.921055,37.107468,37.107468,614.2833,572.42145,572.42145,23.112244,56.828045,56.828045,2534817.0,3458586.0,3458586.0,453548.5,1022365.94,1022365.94
2008-06-05,BAJAJFINSV,EQ,598.95,603.0,639.8,572.3,631.5,631.85,610.65,1344712,687.6,672.90717,666.16876,12.644366,31.062147,34.50026,607.05,581.79285,571.6937,35.425663,47.77493,52.652786,2459835.8,3413911.5,3380353.5,323975.97,1044913.7,972047.3
2008-06-06,BAJAJFINSV,EQ,631.85,639.25,642.9,608.05,635.0,630.9,628.44,794722,667.86664,677.02856,663.2389,25.558039,22.089342,33.447586,590.48334,593.3929,571.7611,36.54211,27.741852,49.252586,2158940.0,2984707.0,3154171.0,753882.5,1201976.1,1134545.1
2008-06-09,BAJAJFINSV,EQ,630.9,620.0,648.0,580.0,645.0,629.9,624.95,758393,652.23334,673.7857,661.205,18.914104,25.456396,32.183903,582.31665,599.6857,575.39,22.467216,24.803741,47.832733,1657386.4,2442701.8,2918226.0,1054366.1,1213475.9,1304174.5
2008-06-10,BAJAJFINSV,EQ,629.9,618.0,675.0,618.0,672.0,669.25,653.65,939180,643.56665,665.9286,660.0045,4.140451,23.336145,30.79083,586.7833,595.6857,575.8091,18.815575,25.487753,45.3994,965942.3,1905000.4,2721877.8,328526.7,941934.4,1398164.5
2008-06-11,BAJAJFINSV,EQ,669.25,672.0,682.0,641.1,641.1,653.5,662.71,750714,655.3,666.9286,661.25415,17.250217,23.588324,29.67533,602.01666,599.9286,579.325,19.70535,26.50509,44.96745,830765.0,1602359.1,2573319.5,95631.1,845228.2,1428979.9
2008-06-12,BAJAJFINSV,EQ,653.5,629.0,638.45,601.0,602.0,605.9,614.22,414320,668.3333,664.5,662.85,17.953644,20.395016,28.988733,613.0333,602.65717,584.0769,30.85131,29.919174,46.33698,816095.7,1388547.0,2433119.0,106663.29,844164.06,1458543.1
2008-06-13,BAJAJFINSV,EQ,605.9,607.0,624.5,572.75,577.0,580.8,601.0,458514,665.15,657.1643,661.1071,23.386267,18.962961,28.604725,620.0333,598.15,585.2857,20.127178,26.888365,44.74829,701404.7,1119252.2,2288919.2,265881.66,804936.44,1501604.8
2008-06-16,BAJAJFINSV,EQ,580.8,595.0,618.0,587.25,613.1,614.05,606.17,496439,648.31665,650.09283,658.6667,29.99293,20.78077,29.139734,604.95,599.02856,584.45,34.34578,25.762568,43.241837,541182.7,780079.3,2166892.2,182799.92,311676.72,1522208.0
2008-06-17,BAJAJFINSV,EQ,614.05,610.0,626.0,605.1,610.0,611.05,614.08,248850,626.98334,646.9786,656.125,10.448724,23.969284,29.931204,587.0,601.1643,584.625,14.126659,23.715847,41.78145,456424.34,658897.44,2062488.8,41099.363,200707.36,1528739.2
2008-06-18,BAJAJFINSV,EQ,611.05,615.0,617.2,585.1,595.0,591.95,605.3,142386,622.8333,644.5643,654.35297,4.2524505,25.264677,29.887589,588.36664,600.74286,585.8294,16.203884,23.599018,40.75836,401267.66,580915.7,1955804.1,133352.67,241116.58,1544171.5
2008-06-19,BAJAJFINSV,EQ,591.95,580.0,625.0,578.05,613.0,611.85,614.38,468038,620.4,640.1643,652.2889,4.86621,27.176287,30.28875,592.48334,601.47144,585.7889,10.979109,22.920876,39.541794,295891.66,492914.72,1855058.8,181653.7,275506.84,1557850.0
2008-06-20,BAJAJFINSV,EQ,611.85,603.0,618.25,532.0,569.0,554.95,573.49,289352,622.73334,633.0214,650.85266,4.818022,22.695776,30.093773,589.4167,595.7643,585.3816,14.032136,23.092453,38.468708,286424.66,425608.72,1782057.6,166045.77,193726.42,1547036.9
2008-06-23,BAJAJFINSV,EQ,554.95,551.0,575.9,550.0,566.55,565.4,561.83,514992,620.15,623.9143,649.2225,4.232907,7.4083686,30.18471,565.05,580.1786,582.7125,28.838387,24.185823,39.299297,299925.34,359699.84,1707422.4,163083.27,133942.88,1542325.2
2008-06-24,BAJAJFINSV,EQ,565.4,565.5,572.0,537.0,547.1,549.15,551.73,294467,606.38336,614.9786,645.73096,26.614204,17.62791,33.48985,553.35,572.8929,581.1548,23.207058,24.547121,38.963707,424127.34,374081.56,1650640.0,119056.555,145675.8,1525627.1
2008-06-25,BAJAJFINSV,EQ,549.15,542.0,632.5,540.0,580.0,577.1,564.55,124264,588.7167,607.4786,642.3795,25.650845,23.191986,36.26657,539.6667,567.7857,579.1477,9.291574,28.05074,39.172653,366270.34,350646.28,1588995.8,128822.13,142999.88,1516675.0
2008-06-26,BAJAJFINSV,EQ,577.1,578.0,600.0,578.0,588.0,590.25,590.89,134458,593.4667,609.55,641.95,33.860054,24.874836,35.49258,542.3333,561.0357,577.4457,6.8068595,28.27046,39.132843,311241.0,297478.44,1525311.8,195903.34,148828.45,1512952.0
2008-06-27,BAJAJFINSV,EQ,590.25,585.0,585.0,550.0,565.0,562.0,563.12,170967,601.5,605.8357,640.2021,30.27788,23.932451,35.75301,551.6667,557.1643,577.46875,22.854612,22.496384,38.272842,184396.33,281136.72,1467359.5,95460.164,160852.44,1506686.5
2008-06-30,BAJAJFINSV,EQ,562.0,565.0,570.0,520.0,523.0,537.85,553.0,105379,605.8333,601.2357,637.994,24.281338,24.472548,36.70023,556.0,552.15,576.37,19.697716,18.847834,37.867638,143229.67,285219.72,1415503.8,24556.041,157061.53,1497578.6
2008-07-01,BAJAJFINSV,EQ,537.85,535.0,536.9,502.65,526.5,517.75,518.83,86030,585.0,593.3786,635.37885,15.0,24.400202,38.351604,549.3333,543.8571,574.2019,29.005747,18.31601,38.71452,136934.67,233411.28,1365114.4,32864.066,146139.94,1489647.1
2008-07-02,BAJAJFINSV,EQ,517.75,511.0,530.0,495.0,518.0,522.55,506.03,225316,563.9667,581.75714,631.7315,24.61104,29.433702,42.1125,524.2167,539.6643,571.5519,23.954975,23.969542,40.38298,120792.0,204365.28,1317740.9,44516.78,153203.3,1481315.4
2008-07-03,BAJAJFINSV,EQ,522.55,495.2,513.85,446.0,455.0,478.5,499.88,291484,545.63336,575.2,628.0982,21.382313,35.45321,45.578465,505.88333,531.8071,568.8179,12.809794,28.5866,42.18623,138908.33,162983.0,1278725.8,75454.02,73925.65,1468211.9
2008-07-04,BAJAJFINSV,EQ,478.5,471.35,500.0,447.0,499.05,499.7,485.69,98707,526.9167,566.8929,624.1586,11.830293,42.450172,49.53075,481.21667,518.8071,564.58276,30.73745,42.926414,47.28915,200943.33,162556.86,1244682.9,104873.05,73044.74,1453364.1
2008-07-07,BAJAJFINSV,EQ,499.7,494.65,544.0,494.65,518.0,521.8,510.16,422193,514.61664,547.9643,620.02,15.014688,37.581963,53.68933,462.66666,505.52142,560.6633,28.00595,49.2064,51.186016,205169.0,158905.86,1206483.8,97954.94,75862.11,1443331.5
2008-07-08,BAJAJFINSV,EQ,521.8,475.8,518.0,475.8,513.1,510.95,505.94,236281,519.2833,539.9643,617.52,22.497574,29.817287,55.45557,462.55,493.6143,560.45166,27.803911,37.417027,51.453674,270794.66,200010.86,1115708.6,162732.4,123440.56,1402231.0
2008-07-09,BAJAJFINSV,EQ,510.95,550.0,550.0,512.0,517.9,518.05,530.08,91041,520.6667,530.3929,614.4217,22.12088,22.903246,58.35603,472.48334,483.01428,559.94165,23.997517,28.141558,52.234676,252393.67,209341.42,978613.2,162343.81,123347.74,1270022.2
2008-07-10,BAJAJFINSV,EQ,518.05,515.0,519.85,500.0,510.0,506.8,509.09,83723,537.3333,527.5357,610.56836,17.009802,17.82285,58.67586,494.15,481.87143,558.2083,18.105179,26.503992,52.953194,249838.33,207293.14,828689.25,165991.75,125462.766,1080486.0
2008-07-11,BAJAJFINSV,EQ,506.8,519.9,520.0,466.65,477.0,478.95,498.3,45764,529.2833,525.1,604.4633,17.964989,17.491783,58.253582,495.93332,481.49286,554.60834,18.439451,26.174612,53.1223,137015.0,206963.58,680736.6,86044.71,125836.87,832767.56
2008-07-14,BAJAJFINSV,EQ,478.95,498.0,498.0,455.0,458.0,461.9,470.9,79049,529.95,523.67145,599.53,17.363972,17.433155,58.94999,492.88333,477.44287,550.55334,23.497677,25.928467,55.069122,73509.336,181313.28,580339.75,24305.162,139075.78,708630.25
2008-07-15,BAJAJFINSV,EQ,461.9,447.0,463.0,436.05,436.05,448.5,456.09,52550,512.61664,521.40717,592.83,12.658627,19.791252,58.676582,473.88333,478.72858,544.9867,23.355745,24.280203,56.030106,69512.0,150965.42,508061.44,20698.725,134118.03,639990.06
2008-07-16,BAJAJFINSV,EQ,448.5,440.0,451.95,417.5,424.1,424.95,425.44,269364,493.66666,516.1214,585.27,28.746014,29.176815,60.33908,452.56668,477.16428,538.43665,15.444444,26.878736,56.91936,59121.0,144371.58,433167.0,17588.53,138188.39,547987.3
2008-07-17,BAJAJFINSV,EQ,424.95,439.0,439.0,415.1,421.0,421.75,420.61,391481,470.98334,502.97144,577.86835,24.040607,34.732357,62.654224,436.18332,466.14285,533.4667,18.750355,33.512615,60.755608,133654.33,122538.86,347721.62,118272.5,90992.555,308407.38
2008-07-18,BAJAJFINSV,EQ,421.75,405.35,428.0,388.05,406.65,410.7,418.18,166930,451.31668,491.6857,571.175,12.012528,41.257187,66.42233,422.88333,457.47144,528.2267,11.465637,38.132072,63.9841,237798.33,144710.28,315947.28,171656.19,132683.5,244665.5
2008-07-21,BAJAJFINSV,EQ,410.7,411.0,421.6,408.1,411.0,410.7,414.21,109056,439.65,474.25714,564.01166,11.988223,38.170586,69.916466,406.88333,439.76428,520.8933,16.354229,37.361965,67.053604,275925.0,155551.58,295020.88,112419.19,130652.24,228625.45
2008-07-22,BAJAJFINSV,EQ,410.7,402.35,424.95,402.35,420.9,420.0,421.55,125018,429.53333,460.22144,556.465,8.800757,36.644733,72.701454,403.75,426.6357,515.1633,14.039854,27.517475,69.14082,222489.0,159170.58,273376.3,149184.69,128666.8,213479.62
2008-07-23,BAJAJFINSV,EQ,420.0,433.0,449.95,428.05,437.15,437.85,435.6,524250,424.85,446.64285,548.13,3.2011716,27.193665,72.97639,399.5,417.45,507.975,10.324365,22.140762,69.2906,133668.0,170492.58,246237.56,29890.916,120235.12,174024.7
2008-07-24,BAJAJFINSV,EQ,437.85,439.0,480.5,439.0,455.0,451.4,451.69,146863,432.16666,439.77856,540.395,15.491637,15.708406,70.5555,412.83334,413.6,500.87332,13.487988,16.020195,66.0165,252774.67,234092.72,238688.77,235239.95,170883.22,155290.4
2008-07-25,BAJAJFINSV,EQ,451.4,436.0,455.0,436.0,446.0,446.25,447.05,39059,451.8,442.27856,535.13,27.82117,20.638857,68.85899,423.13333,414.02142,495.47333,18.813183,16.732176,64.14298,265377.0,247566.0,229773.53,224456.5,157367.4,152512.23
2008-07-28,BAJAJFINSV,EQ,446.25,437.0,452.0,432.05,435.0,436.05,440.73,15178,461.81668,442.7143,529.48,16.376076,20.907509,68.22413,434.35,416.66428,490.915,5.658401,18.716564,63.315678,236724.0,214665.28,215791.7,254772.11,175123.69,150025.8
2008-07-29,BAJAJFINSV,EQ,436.05,435.0,435.0,426.0,430.0,429.85,429.75,53978,462.5,444.57144,523.94666,15.6604595,21.099089,67.52528,435.68332,419.08572,485.74167,3.4858046,19.557985,61.48707,67033.336,160907.72,199749.67,70158.086,169465.86,144614.47
2008-07-30,BAJAJFINSV,EQ,429.85,408.4,442.5,408.4,435.5,437.55,437.42,14333,447.33334,445.57144,517.58,10.785793,20.33482,66.568825,431.35,424.50714,479.77167,5.036616,13.987716,58.09996,36071.668,144771.72,193253.94,19571.742,174110.67,146694.58
2008-07-31,BAJAJFINSV,EQ,437.55,429.0,447.0,429.0,435.0,442.65,441.42,13873,443.16666,448.55713,511.75665,8.519586,17.575703,65.18048,422.15,424.55,473.88165,12.286069,13.929405,55.97156,27829.666,131239.86,188985.5,22649.062,180897.78,150050.38
2008-08-01,BAJAJFINSV,EQ,442.65,430.0,449.9,423.0,442.0,443.0,442.42,23610,441.5,451.70715,505.82333,6.0621777,14.312594,62.56572,421.13333,428.35715,468.91333,11.128942,9.913561,52.939278,27394.666,115362.0,173846.67,23022.99,186331.05,143701.9
2008-08-04,BAJAJFINSV,EQ,443.0,431.25,454.95,431.25,454.95,452.65,448.67,12186,446.46667,451.7,500.21167,3.7287173,14.31363,59.614437,420.13333,427.6357,465.28,10.594967,10.121212,52.195427,17272.0,43842.0,164988.6,5493.6855,47851.895,144524.48
2008-08-05,BAJAJFINSV,EQ,452.65,452.65,475.0,438.0,467.0,467.9,464.28,15674,450.61667,448.05,496.18,4.023162,7.270316,58.396626,427.75,426.52856,461.32166,4.2646804,9.036678,50.00587,16556.334,24602.428,148228.4,6166.6157,16002.452,131063.5
2008-08-06,BAJAJFINSV,EQ,467.9,465.0,497.0,465.0,482.0,482.2,484.09,46278,459.95,450.90714,492.94666,13.276012,12.503347,56.714985,430.75,426.8143,458.02167,7.51249,9.409955,48.068565,17156.666,21261.715,138935.3,5854.5425,14883.283,130218.08
2008-08-07,BAJAJFINSV,EQ,482.2,495.0,535.0,470.15,522.55,515.3,502.16,127300,475.65,457.33572,488.43,21.032534,21.49447,50.244366,444.75,431.52142,455.52167,17.858822,17.353767,45.54186,24712.666,25704.572,136335.77,18757.379,17222.576,131295.02
2008-08-08,BAJAJFINSV,EQ,515.3,510.0,530.0,505.0,520.0,517.5,516.07,40717,502.33334,471.62143,486.26334,30.353474,33.853508,46.53158,457.71667,437.82858,451.92667,17.268204,22.3239,39.38015,63084.0,36179.145,136097.17,57679.477,41900.54,131305.05
2008-08-11,BAJAJFINSV,EQ,517.5,535.0,592.0,528.0,540.0,540.5,557.45,235630,520.6667,484.12143,484.43,20.64784,37.288536,43.491413,480.05,451.62857,450.42667,21.760227,29.72939,36.248184,71431.664,39948.285,131755.5,48463.227,40779.535,132262.2
2008-08-12,BAJAJFINSV,EQ,540.5,550.0,550.0,512.5,528.4,523.7,531.13,54384,552.3333,504.83572,485.16333,34.44319,50.988274,45.138306,501.05,465.77142,450.69333,29.126577,39.207607,36.802845,134549.0,71627.86,136097.2,97658.49,82223.34,133498.56
2008-08-13,BAJAJFINSV,EQ,523.7,518.75,555.0,510.0,540.6,544.1,543.65,77028,557.3333,519.13574,485.6,31.643852,46.885098,45.715736,515.1667,478.55713,451.02167,11.729592,37.49058,37.322624,110243.664,76024.14,135042.33,108802.555,80021.266,134031.78
2008-08-14,BAJAJFINSV,EQ,544.1,535.0,549.45,525.0,530.0,528.95,537.49,27675,565.6667,533.4286,486.43332,22.941956,38.569664,46.768723,516.8333,489.80713,451.52167,9.751068,32.39859,38.02595,122347.336,85287.29,130099.4,98756.82,74994.97,133320.25
2008-08-18,BAJAJFINSV,EQ,528.95,504.0,528.0,504.0,521.95,519.15,519.77,52577,551.48334,544.0643,487.62,3.0579133,28.800097,47.925686,515.8333,502.23572,454.155,8.036376,25.070845,40.297924,53029.0,87001.71,121305.766,24704.385,73255.336,130988.336
2008-08-19,BAJAJFINSV,EQ,519.15,502.0,549.9,502.0,549.05,540.7,516.42,181658,544.15,548.49286,488.55334,14.2589445,21.918037,48.444927,513.0,507.80713,456.055,10.816654,19.020218,41.2807,52426.668,87901.57,119768.1,24676.844,72708.36,131532.39
2008-08-20,BAJAJFINSV,EQ,540.7,551.1,551.1,523.1,530.0,531.65,532.35,29888,542.45,550.6214,488.75,12.516089,21.09743,48.68914,510.33334,512.3571,456.3,12.74101,10.338901,41.538666,87303.336,95667.0,111750.266,82656.695,80140.45,119216.31
2008-08-21,BAJAJFINSV,EQ,531.65,516.5,546.0,516.5,526.9,528.1,536.77,27053,543.0,553.63574,489.85333,13.0042305,19.070019,49.738552,509.7,514.9429,457.87668,11.647747,10.45496,43.169983,88041.0,94120.0,104870.5,81864.555,81471.445,117728.055
2008-08-22,BAJAJFINSV,EQ,528.1,524.0,529.7,517.5,522.0,522.4,524.59,24210,549.0,547.0643,489.72,2.6664584,8.814699,49.576855,513.86664,513.3,458.02667,10.793671,8.84006,43.371872,79533.0,64323.285,102737.57,88454.2,54899.254,118563.93
2008-08-25,BAJAJFINSV,EQ,522.4,530.0,540.95,521.0,522.55,529.8,531.1,30557,542.26666,544.1643,490.04834,11.177805,10.802959,49.815323,519.0333,514.0143,458.61,3.5571525,8.9657545,44.06796,27050.334,60012.715,100753.8,2839.001,56955.812,119388.055
2008-08-26,BAJAJFINSV,EQ,529.8,520.15,547.95,520.15,527.0,527.6,532.6,48975,538.88336,542.15717,490.74667,8.34421,9.703454,50.39317,518.3333,515.5857,460.42166,2.362908,9.107767,45.503685,27273.334,53374.0,100246.9,3179.2314,57348.934,119661.555
2008-08-27,BAJAJFINSV,EQ,527.6,553.95,553.95,512.0,517.15,519.7,531.33,44049,539.5333,541.9429,492.41165,9.207108,9.530583,51.455074,519.55,514.8929,462.59332,1.8255136,8.431608,46.772953,34580.668,56416.855,99244.43,12863.465,56313.85,119970.836
2008-08-28,BAJAJFINSV,EQ,519.7,510.5,550.0,510.5,540.0,544.25,533.15,69852,547.61664,545.65,495.44333,6.5064073,8.150255,52.33424,517.7167,516.0357,465.125,4.968987,7.154527,47.33875,41193.668,55198.57,98961.07,9535.218,56502.7,120094.91
2008-08-29,BAJAJFINSV,EQ,544.25,550.0,558.0,532.4,537.05,537.3,548.51,49228,550.63336,545.6643,498.71167,3.0497267,8.159029,52.585434,514.2167,517.25,468.225,5.1928635,4.662707,47.15719,54292.0,39226.285,92310.664,13698.598,16290.428,115779.836
